CustomerID,Region,TownSize,Gender,Age,EducationYears,MaritalStatus,JobCategory,EmploymentLength,Retired,HouseholdSize
0453-LYAETZ-K69,2,1,Female,39,18,Unmarried,Professional,7,No,2
8201-AAESBF-GW3,1,1,Female,25,18,Unmarried,Sales,0,No,1
8574-GUQVLV-C04,1,1,Male,23,15,Unmarried,Labor,2,No,1
2392-WBLNQY-964,3,2,Male,30,16,Married,Professional,2,No,2
0359-DQOMHP-1YU,4,2,Female,50,14,Unmarried,Service,18,No,1
9176-YPUZOB-0X8,3,3,Male,49,13,Unmarried,Sales,2,No,1
9393-XVJDYP-T0Y,3,2,Male,32,10,Married,Service,10,No,5
3427-AFVORF-KSQ,4,2,Male,45,19,Unmarried,Crafts,12,No,1
3653-NZHSEU-GMC,1,1,Female,34,18,Married,Sales,3,No,
1804-PVZNPU-R1J,5,5,,19,14,Unmarried,Labor,0,No,1
9357-NOWBWV-55T,4,3,Female,22,17,Married,Labor,0,No,5
2613-HPXXOY-32A,5,5,Female,30,16,Married,Service,3,No,2
5725-ECSRUB-X5V,1,1,Male,46,16,Married,Labor,9,No,2
9200-GVGEES-KKE,3,1,Male,51,18,Unmarried,Sales,1,No,1
3736-XFNRBQ-RGC,4,2,Female,52,16,Unmarried,Professional,6,No,2
9357-WUXLKE-TTP,5,3,Female,27,18,Married,Sales,0,No,6
4128-WQIOMO-MJX,1,1,Female,38,10,Unmarried,Service,11,No,2
2736-QDRAAN-VAI,5,5,Female,18,13,Married,Sales,0,No,4
5739-BYRLOH-4E9,4,3,Female,21,14,Unmarried,Crafts,1,No,1
3216-HYCWBS-R4X,5,4,Male,42,14,Married,Sales,3,No,3
5023-GJPZGQ-PDD,3,2,Male,68,10,Unmarried,Service,15,Yes,3
4251-UJCSCO-W61,2,1,Male,56,13,Married,Sales,4,No,2
2484-ZFXONS-Y8G,5,2,Female,31,18,Married,Service,4,No,4
1163-JCDRWZ-Q3K,4,2,Male,18,13,Married,Professional,0,No,5
1351-APLKEM-62K,3,5,Male,32,12,Unmarried,Professional,2,No,1
2175-VGCTPF-370,4,4,Male,79,12,Married,Sales,6,Yes,2
5161-SAEGFS-T7Q,3,2,Male,64,21,Unmarried,Professional,14,No,1
2603-JDZIQN-SZF,5,3,Female,53,12,Married,Sales,6,No,2
2459-RBRPIE-BI3,1,3,Male,40,14,Married,Professional,9,No,5
2591-HAWSSX-B1M,2,2,Male,39,17,Unmarried,Professional,5,No,1
0044-LVJIBD-G76,4,4,Female,49,16,Unmarried,Professional,6,No,1
8454-WYVBYJ-22N,2,4,Female,75,15,Married,Professional,11,No,2
9769-TIWOIU-7YX,3,1,Male,29,13,Unmarried,,3,No,4
9999-EGLHVE-19G,1,2,Male,32,16,Married,Crafts,6,No,4
7731-TDRNOT-PZX,2,3,Male,23,15,Married,Professional,0,No,5
4030-WSTXBV-BTC,3,2,Female,79,12,Unmarried,Sales,18,Yes,1
5547-KHAYAE-2AW,2,4,Female,74,11,Unmarried,Service,39,Yes,1
2581-UPECEP-JVH,3,3,Male,38,16,Unmarried,Professional,10,No,2
3542-FMTLYP-O4P,5,5,Male,44,11,Unmarried,Service,11,No,1
5649-GIECLS-1ZJ,1,1,Male,68,13,Unmarried,Sales,10,Yes,1
7524-OITCVK-NGI,2,2,Female,19,14,Unmarried,Crafts,0,No,1
8320-TNOHJH-48E,2,3,Male,28,20,Unmarried,Professional,0,No,2
5593-ZOVUTO-QGA,3,1,Female,65,17,Unmarried,Professional,7,No,1
0127-NJJYNR-WUP,1,1,Female,60,15,Married,Service,24,No,2
0256-VFLEDH-Y42,1,2,Male,29,19,Unmarried,Professional,0,No,1
4080-WVWCSJ-5KU,3,1,Female,72,15,Married,Professional,16,Yes,5
8974-LHXTHT-IZ5,3,3,Female,48,15,Married,Sales,2,No,2
4563-GBQFAH-LGL,1,1,Male,33,14,Married,Service,5,No,5
7833-BKSOZR-8NC,4,4,Male,26,15,Unmarried,Sales,0,No,3
2833-ORNEXA-0T3,2,1,Male,75,11,Married,Labor,32,Yes,2
3086-WRWJTT-HZR,3,3,Female,29,17,Unmarried,Sales,0,No,1
7981-ZGZQNR-WLL,3,4,Male,30,18,Married,Professional,0,No,4
1090-UJJPXK-6CC,4,5,Male,74,21,Unmarried,Sales,8,Yes,1
1492-MUMVFT-GK0,2,3,Female,24,11,Married,Professional,2,No,4
9484-XPXYRM-EKK,1,1,Male,64,11,Unmarried,Professional,16,No,2
7442-PTTPUB-IR1,3,2,Male,74,16,Married,Professional,17,No,2
1833-MUWCIB-24I,1,1,Female,61,16,Unmarried,Professional,5,No,1
6700-YQAMUY-AMS,5,2,Female,20,15,Married,Sales,0,No,5
0256-JXPOLY-RHL,1,3,Female,64,8,Unmarried,Labor,30,No,1
4323-JKNASP-Z5I,4,3,Female,66,16,Married,Professional,14,No,2
3198-MUUHTP-59E,2,3,Female,59,17,Unmarried,Sales,5,No,1
9758-OITZZF-IN8,5,5,Female,54,12,Unmarried,Sales,8,No,1
